iter	Logloss
0	0.6758401821
1	0.6616094622
2	0.6505203718
3	0.6417085903
4	0.6345857038
5	0.6290378488
6	0.6243015346
7	0.6206365967
8	0.6174877232
9	0.6149615792
10	0.6128615583
11	0.611153826
12	0.6097208147
13	0.6084328125
14	0.607416483
15	0.6065842913
16	0.6057694754
17	0.6050577114
18	0.6044688825
19	0.6039431152
20	0.6034739502
21	0.6030879743
22	0.6027446463
23	0.6022588309
24	0.601935805
25	0.6016588553
26	0.6014306257
27	0.6011687221
28	0.600972311
29	0.6007781459
30	0.6005595424
31	0.6003505406
32	0.6002248396
33	0.6000945905
34	0.599928547
35	0.5996243269
36	0.5994757568
37	0.5993820696
38	0.5989842494
39	0.5987415806
40	0.5986576416
41	0.5985190709
42	0.598326001
43	0.5982094203
44	0.5981145438
45	0.5980061733
46	0.5979467146
47	0.5978343366
48	0.5977746931
49	0.5976634277
50	0.5976041016
51	0.5975096331
52	0.5974342041
53	0.5973647705
54	0.5972382987
55	0.597165496
56	0.596839352
57	0.5967843052
58	0.596671603
59	0.5965296491
60	0.5964430594
61	0.5963091588
62	0.5962509208
63	0.5961846959
64	0.5961040004
65	0.5960561768
66	0.5960015625
67	0.5959230887
68	0.5958937605
69	0.5958522879
70	0.5958009033
71	0.5956455043
72	0.5954751186
73	0.595440625
74	0.5952219936
75	0.5951790911
76	0.5951328334
77	0.5950031494
78	0.5949777309
79	0.594930263
80	0.5948559849
81	0.5948260324
82	0.594735927
83	0.5947071254
84	0.5946749512
85	0.5946364397
86	0.5945734898
87	0.594449278
88	0.5944142753
89	0.5943749791
90	0.5943462298
91	0.5942425467
92	0.5942129569
93	0.5941896659
94	0.5941165039
95	0.5940701695
96	0.5940490618
97	0.5939267404
98	0.5939071359
99	0.5938862549
100	0.5937304618
101	0.5936864083
102	0.5935982352
103	0.5934494664
104	0.5933764056
105	0.5933498814
106	0.5933326835
107	0.5931105434
108	0.5930861014
109	0.5930040597
110	0.5929727225
111	0.5927951556
112	0.5927219796
113	0.5924981306
114	0.5924700335
115	0.5924067801
116	0.5923346261
117	0.592301981
118	0.5922639614
119	0.5922073905
120	0.5921889927
121	0.5920874651
122	0.5920188895
123	0.5919321115
124	0.5917403634
125	0.5916574951
126	0.5916098947
127	0.5915377302
128	0.5914838065
129	0.5914301618
130	0.5913422328
131	0.5912330985
132	0.5912043387
133	0.5911629116
134	0.5911426653
135	0.5911183315
136	0.5910873779
137	0.59103524
138	0.5908164969
139	0.590752117
140	0.5907155169
141	0.590686785
142	0.5905413993
143	0.5904411865
144	0.5903914132
145	0.5902598179
146	0.590178397
147	0.5901497524
148	0.5900579869
149	0.589992177
150	0.5899324009
151	0.5899011509
152	0.5897829346
153	0.5897349679
154	0.5897086321
155	0.5896779297
156	0.5896371338
157	0.5895711775
158	0.5894683175
159	0.5894180001
160	0.589396024
161	0.5893163504
162	0.5892453299
163	0.5891767997
164	0.5891333217
165	0.5891095285
166	0.5889142822
167	0.5888866595
168	0.5888577462
169	0.5888300816
170	0.5886911935
171	0.5886234724
172	0.5885377232
173	0.5884500349
174	0.5883978271
175	0.5883637416
176	0.588318185
177	0.5882770717
178	0.5882392822
179	0.5881724958
180	0.5881251709
181	0.5880830915
182	0.5880510219
183	0.587994308
184	0.5879609619
185	0.5879304548
186	0.5878752546
187	0.587848577
188	0.5877981201
189	0.5876830566
190	0.5876562012
191	0.5876334368
192	0.5876101597
193	0.5875754255
194	0.5875209019
195	0.5873791399
196	0.5873416016
197	0.5872942906
198	0.5872710449
199	0.587247726
200	0.5872229841
201	0.5871974086
202	0.5871462054
203	0.5871211251
204	0.587031679
205	0.5869686419
206	0.5869335519
207	0.5869064767
208	0.5868651576
209	0.5867960903
210	0.5867735212
211	0.5867288539
212	0.5866796805
213	0.5866659284
214	0.5866489223
215	0.5866233608
216	0.5865890765
217	0.5865699881
218	0.5865416016
219	0.5864742571
220	0.5864481201
221	0.5864226249
222	0.5864034982
223	0.5863839355
224	0.5863725412
225	0.5863507499
226	0.5863017753
227	0.5862874965
228	0.5862601667
229	0.5861980713
230	0.5861705183
231	0.5861494141
232	0.5861224854
233	0.5860685059
234	0.5860429095
235	0.586015203
236	0.5859325858
237	0.5859056327
238	0.585876988
239	0.5858491455
240	0.585815625
241	0.5857919573
242	0.5857198975
243	0.5856943045
244	0.5856659284
245	0.5856220494
246	0.5855955915
247	0.5855589111
248	0.5855286237
249	0.5855140555
250	0.585499864
251	0.585466326
252	0.5854433873
253	0.585424585
254	0.5854008754
255	0.5853834508
256	0.5853686628
257	0.5853367327
258	0.5853169573
259	0.5852983538
260	0.5852760149
261	0.585252417
262	0.5852295061
263	0.5852037563
264	0.5851740165
265	0.5851471645
266	0.5851213239
267	0.5850180908
268	0.5849924735
269	0.5849635638
270	0.584907966
271	0.5848975272
272	0.5848754464
273	0.5848595389
274	0.5848170968
275	0.5847993269
276	0.5847776821
277	0.584720023
278	0.5846928223
279	0.5846774379
280	0.5846468785
281	0.5846298723
282	0.5845990269
283	0.5845373814
284	0.5845139579
285	0.5845011265
286	0.5844289586
287	0.5844115758
288	0.5843931048
289	0.5843725516
290	0.5843584612
291	0.5843392439
292	0.5843117815
293	0.584286635
294	0.5842520089
295	0.5842274275
296	0.5842018973
297	0.5841480852
298	0.5841265765
299	0.5841090018
