iter	Passed	Remaining
0	281	84177
1	397	59199
2	516	51151
3	648	48021
4	767	45279
5	908	44500
6	1031	43163
7	1170	42715
8	1298	41985
9	1440	41763
10	1574	41356
11	1743	41851
12	1902	41997
13	2049	41859
14	2188	41580
15	2319	41175
16	2439	40616
17	2555	40040
18	2704	39993
19	2832	39658
20	2968	39438
21	3081	38941
22	3223	38820
23	3352	38555
24	3476	38244
25	3575	37679
26	3700	37417
27	3844	37347
28	3983	37222
29	4108	36979
30	4246	36846
31	4380	36687
32	4510	36495
33	4637	36283
34	4748	35953
35	4893	35886
36	5025	35721
37	5144	35472
38	5263	35226
39	5382	34983
40	5509	34806
41	5638	34639
42	5746	34347
43	5892	34282
44	6027	34154
45	6140	33904
46	6272	33765
47	6396	33583
48	6534	33474
49	6659	33298
50	6785	33128
51	6930	33051
52	7068	32941
53	7200	32800
54	7331	32658
55	7465	32527
56	7597	32387
57	7722	32223
58	7829	31983
59	7954	31819
60	8074	31634
61	8200	31480
62	8320	31300
63	8440	31123
64	8574	31000
65	8716	30902
66	8827	30698
67	8950	30537
68	9079	30397
69	9234	30341
70	9405	30337
71	9660	30592
72	9833	30577
73	10007	30564
74	10124	30373
75	10261	30242
76	10389	30090
77	10508	29908
78	10627	29730
79	10749	29560
80	10858	29357
81	10993	29227
82	11130	29099
83	11270	28980
84	11400	28836
85	11533	28700
86	11666	28562
87	11808	28446
88	11948	28326
89	12077	28181
90	12200	28020
91	12301	27812
92	12430	27668
93	12569	27544
94	12714	27435
95	12832	27268
96	12956	27115
97	13068	26936
98	13183	26766
99	13313	26626
100	13416	26435
101	13536	26276
102	13657	26121
103	13781	25971
104	13923	25857
105	14057	25727
106	14175	25568
107	14287	25400
108	14417	25263
109	14547	25127
110	14672	24982
111	14789	24825
112	14917	24686
113	15045	24548
114	15166	24398
115	15286	24246
116	15415	24111
117	15550	23985
118	15696	23874
119	15826	23739
120	15959	23609
121	16084	23468
122	16206	23321
123	16323	23168
124	16461	23046
125	16594	22916
126	16699	22747
127	16811	22590
128	16933	22447
129	17061	22311
130	17159	22137
131	17269	21979
132	17400	21848
133	17516	21700
134	17632	21550
135	17747	21401
136	17890	21285
137	18005	21136
138	18132	21002
139	18235	20840
140	18339	20680
141	18457	20537
142	18565	20383
143	18676	20232
144	18784	20079
145	18922	19959
146	19042	19820
147	19179	19697
148	19302	19561
149	19417	19417
150	19541	19283
151	19672	19154
152	19787	19011
153	19921	18886
154	20049	18756
155	20168	18617
156	20273	18465
157	20389	18324
158	20493	18173
159	20605	18030
160	20714	17884
161	20827	17741
162	20959	17615
163	21076	17478
164	21172	17322
165	21303	17197
166	21427	17064
167	21549	16931
168	21680	16805
169	21802	16672
170	21930	16543
171	22039	16401
172	22150	16261
173	22286	16138
174	22392	15994
175	22512	15861
176	22639	15732
177	22750	15593
178	22893	15475
179	23008	15338
180	23107	15192
181	23205	15045
182	23336	14919
183	23481	14803
184	23648	14700
185	23803	14589
186	23935	14463
187	24091	14352
188	24224	14227
189	24367	14107
190	24513	13989
191	24647	13864
192	24771	13733
193	24896	13603
194	25007	13465
195	25141	13340
196	25258	13205
197	25362	13065
198	25467	12925
199	25591	12795
200	25706	12661
201	25828	12530
202	25962	12405
203	26076	12271
204	26191	12137
205	26330	12014
206	26437	11877
207	26576	11754
208	26688	11620
209	26829	11498
210	26966	11374
211	27088	11244
212	27210	11114
213	27323	10980
214	27456	10854
215	27589	10729
216	27702	10595
217	27826	10466
218	27980	10348
219	28109	10221
220	28240	10094
221	28389	9974
222	28559	9861
223	28691	9734
224	28816	9605
225	28937	9475
226	29061	9345
227	29192	9218
228	29324	9091
229	29482	8972
230	29704	8872
231	29859	8752
232	30001	8626
233	30104	8490
234	30235	8363
235	30359	8233
236	30470	8099
237	30607	7973
238	30739	7845
239	30866	7716
240	31011	7592
241	31144	7464
242	31311	7344
243	31443	7216
244	31559	7084
245	31702	6958
246	31835	6831
247	31962	6701
248	32095	6573
249	32228	6445
250	32357	6316
251	32488	6188
252	32661	6067
253	32833	5946
254	32993	5822
255	33126	5693
256	33240	5561
257	33372	5432
258	33533	5308
259	33672	5180
260	33790	5049
261	33960	4925
262	34119	4800
263	34233	4668
264	34360	4538
265	34482	4407
266	34622	4279
267	34756	4150
268	34885	4020
269	35004	3889
270	35138	3760
271	35294	3633
272	35438	3504
273	35586	3376
274	35715	3246
275	35841	3116
276	35985	2987
277	36101	2856
278	36226	2726
279	36387	2599
280	36525	2469
281	36673	2340
282	36824	2212
283	36973	2083
284	37123	1953
285	37272	1824
286	37411	1694
287	37548	1564
288	37681	1434
289	37818	1304
290	37948	1173
291	38062	1042
292	38178	912
293	38299	781
294	38432	651
295	38581	521
296	38726	391
297	38873	260
298	39015	130
299	39127	0
